"","GEOID","county","bau_pm25_2025","bau_pm25_2045","total_pm25_2025","total_pm25_2045","dac_share","pop","bau_pm25_change_pct","total_pm25_change_pct","diff_pm25"
"23","06045","Mendocino",1.86752022803302e-06,1.17795407892349e-06,1.76632461253884e-06,9.72745629198834e-07,0,56181.3211985918,-36.9241595758146,-44.9282639049766,-8.00410432916198
"24","06047","Merced",0.00023070589244016,0.00014346964320022,0.00021972829403274,0.00011923713100144,0.744720349379838,157944.264424741,-37.8127529892056,-45.7342844596639,-7.92153147045832
"25","06049","Modoc",1.4059657291654e-05,8.49951894529931e-06,1.33273817695466e-05,7.13358204969477e-06,0,6490.37844224467,-39.5467558775793,-46.4742424802808,-6.9274866027015
"26","06051","Mono",0.00078794960747629,0.00048393790483182,0.00075005350530935,0.00040777989864891,0,8718.81337079448,-38.5826326658355,-45.6332253949368,-7.05059272910127
"27","06053","Monterey",0.00990210322082542,0.00792179153774488,0.00915885890677606,0.00610061179497714,0.0355707944510769,262752.528219236,-19.998899616757,-33.3911368537004,-13.3922372369434
"28","06055","Napa",7.00095812574833e-06,4.43136159118157e-06,6.63428112272172e-06,3.66752599954613e-06,0,91570.1921101219,-36.7034981271524,-44.7185620912982,-8.01506396414586
"29","06057","Nevada",1.94683457443689e-05,1.20774675197506e-05,1.8430782384662e-05,1.00572152045721e-05,0,70599.1959863987,-37.963565685883,-45.4325107058848,-7.46894502000181
"30","06059","Orange",0.0193793613023543,0.00816063778829012,0.0167178381517243,0.00591530399432143,0.106561561139356,2036969.70600857,-57.8900580830869,-64.6168126486419,-6.72675456555495
"31","06061","Placer",2.77216558690974e-05,1.7218100813517e-05,2.62690287192452e-05,1.43569386100808e-05,0,276833.596841586,-37.8893494139692,-45.3465190375972,-7.45716962362804
"32","06063","Plumas",1.86520996116299e-05,1.15009599600808e-05,1.76600920322601e-05,9.59137283365676e-06,0,13256.884884914,-38.3395960800587,-45.6889985842884,-7.34940250422968
"33","06065","Riverside",0.0053109287961078,0.00276894684907555,0.00487491106079943,0.002251530380668,0.196496613630268,1544481.97851871,-47.8632277822136,-53.8139188061664,-5.95069102395281
"34","06067","Sacramento",9.02876805256117e-06,5.70954150636141e-06,8.55484702365739e-06,4.73108945749328e-06,0.123456736722493,988378.587903945,-36.7627845446556,-44.696971852214,-7.93418730755838
"35","06069","San Benito",0.00243482364084549,0.00164900222307908,0.00230089233758663,0.00134420335844646,0,42874.0273818804,-32.2742643279714,-41.5790414663046,-9.30477713833321
"36","06071","San Bernardino",0.0061778794774221,0.0035171144402412,0.00583864245937409,0.00297448793388808,0.370676645836705,1309276.84446228,-43.0692286391314,-49.0551450172726,-5.98591637814118
"37","06073","San Diego",0.00526187616194574,0.00269719681358294,0.0047690503122677,0.0021401548122497,0.0468064177310656,2046888.0097646,-48.7407774229037,-55.1240881912179,-6.38331076831423
"38","06075","San Francisco",8.55939157169737e-06,5.48278616347351e-06,8.11162896652974e-06,4.52239928507342e-06,0.0510804316461826,645457.399913002,-35.9442068101781,-44.2479518758344,-8.30374506565623
"39","06077","San Joaquin",2.80863712001113e-05,1.63114831453173e-05,2.68547789256391e-05,1.36919377179278e-05,0.487231475677295,486339.659794458,-41.9238497237669,-49.0148931933464,-7.09104346957952
"40","06079","San Luis Obispo",0.0477953765191708,0.0299670827223928,0.0455491549410825,0.0251590185073086,0,169128.398831578,-37.3012937551126,-44.7651256321844,-7.46383187707181
"41","06081","San Mateo",1.72228085491901e-05,1.05407324738163e-05,1.638054398323e-05,8.71411412481493e-06,0.0367517588016248,539931.682303047,-38.7978305413377,-46.802046783451,-8.00421624211326
"42","06083","Santa Barbara",0.0581473807288992,0.0337815020473797,0.0558801541434616,0.0288957846221373,0,260031.623658279,-41.9036564950718,-48.2897191944874,-6.38606269941555
"43","06085","Santa Clara",6.72943948213959e-05,3.21273903023249e-05,6.52699492192573e-05,2.77278940927435e-05,0.0397843713606097,1269122.80920632,-52.2584453168896,-57.518131353835,-5.25968603694533
"44","06087","Santa Cruz",4.35883805583217e-05,2.38110789548451e-05,4.18584223387193e-05,2.00380453780996e-05,0.0383580616193084,163751.671603168,-45.3728754088819,-52.1289999514284,-6.75612454254656
"45","06089","Shasta",5.93045432029604e-06,3.60984062431663e-06,5.60153386600943e-06,3.00560952111339e-06,0,110590.612859722,-39.1304539356703,-46.3430982832814,-7.21264434761108
"46","06091","Sierra",3.56221321484628e-05,2.21418510093142e-05,3.37670556843234e-05,1.84727178738801e-05,0,2306.4513810717,-37.8424320109944,-45.2936671571984,-7.45123514620409
